date_name,Rain,Wind speed,Wind direction,Temp,Moisture,UV,AQI,SO2,CO,PM10,NO2,O3(8hr),PM2.5,LastdayAQI
2023/10/31,0,2.4,58,24.3,69,8,39,2,2,11,22,39,20,38
2023/10/30,0,1.4,52,23.5,74,6,38,5,3,14,33,38,26,40
2023/10/29,0,1.4,56,22.9,70,5,40,5,3,16,23,40,29,38
2023/10/28,14.5,1.8,53,21.9,78,4,38,2,3,10,22,38,17,38
2023/10/27,0,1.8,50,24.3,72,5,38,2,3,18,32,38,32,80
2023/10/26,0,1.5,92,25.1,68,8,80,5,5,23,38,80,49,38
2023/10/24,0,1.3,59,25.6,77,6,50,5,5,24,35,50,47,46
2023/10/23,0,1.2,87,25.8,71,8,46,5,3,14,38,46,24,34
2023/10/22,0,1.8,50,23.9,71,6,34,2,2,7,18,34,13,37
2023/10/21,0,2.9,57,22.5,72,5,37,2,3,14,18,37,22,51
2023/10/20,0,2,1,23.9,85,5,51,2,3,23,25,40,51,169
2023/10/19,0,0.9,21,25.9,76,7,169,5,6,44,28,169,94,140
2023/10/18,0,0.8,20,25.8,70,8,140,8,7,39,60,140,81,126
2023/10/17,0,1.8,32,25.4,56,8,126,2,5,32,22,126,67,90
2023/10/16,0,2.3,55,24.9,55,10,90,2,3,32,17,90,65,108
2023/10/15,0,2,58,24.1,62,8,108,5,5,30,22,108,65,64
2023/10/14,0,1.5,52,24.2,70,5,64,8,5,22,28,64,45,54
2023/10/13,0,1.8,29,25.2,68,9,54,2,3,22,28,54,29,47
2023/10/12,0,2.2,53,25.1,67,9,47,5,3,20,25,47,29,58
2023/10/11,0.5,3,58,24.6,67,10,58,2,3,18,18,58,27,40
2023/10/10,0,2.4,30,24.6,81,11,40,2,2,8,15,40,13,42
2023/10/9,0,2,53,24.5,87,3,42,0,2,12,13,42,18,39
2023/10/8,0.5,2,33,24.7,88,6,39,0,2,14,13,39,16,39
2023/10/7,3.5,1.2,1,25.5,90,6,39,2,3,22,28,39,29,37
2023/10/6,2.5,1.2,7,26.7,83,10,37,0,5,23,33,36,37,43
2023/10/5,6,3.7,34,26.9,79,9,43,0,2,11,12,43,15,38
2023/10/4,39,3,30,25.3,92,2,38,0,2,19,13,38,34,42
2023/10/3,1,3,58,26.3,75,10,42,2,2,26,20,42,31,45
2023/10/2,0,2.7,64,26.7,67,7,45,2,2,27,17,45,39,51
2023/10/1,0,2.8,31,28.2,70,10,51,2,3,19,12,51,32,34
2023/9/30,0,1.9,30,29,71,9,34,2,3,15,18,34,25,29
2023/9/29,0,2,64,29.6,66,11,29,0,2,15,18,26,29,31
2023/9/28,0,2.1,37,29.8,66,9,31,2,2,13,22,31,23,34
2023/9/27,0,2.2,58,29.9,63,11,34,2,2,16,23,28,34,43
2023/9/26,0,2.2,45,29.8,62,11,43,2,2,17,22,43,29,34
2023/9/25,0,1.7,89,29.3,69,9,34,2,2,16,23,34,25,40
2023/9/24,0,1.4,2,29.3,72,9,40,2,2,19,20,40,38,50
2023/9/23,0,1.7,43,30.1,68,8,50,2,3,17,27,50,40,36
2023/9/22,0,1.5,89,29.2,71,10,36,2,3,18,25,35,36,47
2023/9/21,0,1.2,291,28.9,74,9,47,5,2,22,30,46,47,52
2023/9/20,0,1.2,208,29.1,74,17,52,5,3,25,33,45,52,97
2023/9/19,0,1.3,173,28.8,74,10,97,5,3,23,30,97,44,50
2023/9/18,0,1.3,95,28.5,76,10,50,5,3,22,30,50,44,41
2023/9/17,0,1,95,29,71,10,41,5,2,21,20,36,41,48
2023/9/16,0,1.1,84,28.2,70,11,48,5,3,22,35,43,48,90
2023/9/15,0,1.2,271,27.9,76,19,90,8,3,28,32,90,62,60
2023/9/14,0,1,106,28,72,10,60,10,3,30,28,58,60,54
2023/9/13,0,1,91,27.8,72,10,54,2,5,25,37,50,54,104
2023/9/12,0,1,49,27.5,75,10,104,2,3,26,33,104,55,64
2023/9/11,0,1,38,27.5,72,9,64,2,3,22,45,64,38,46
2023/9/10,0,1.5,80,27.3,70,11,46,2,2,18,38,46,31,47
2023/9/9,7.5,1,38,26.7,72,10,47,5,3,16,28,47,31,27
2023/9/8,3,1.7,27,26.5,75,6,27,2,3,10,27,25,23,29
2023/9/7,6.5,2.2,45,28.8,62,10,29,0,2,9,20,29,16,36
2023/9/6,5.5,1,77,27.8,83,8,36,0,3,12,28,36,18,38
2023/9/5,10,1,80,27.9,85,13,38,2,3,11,33,38,19,42
2023/9/4,3.5,2.2,16,28.2,80,4,42,8,5,9,42,25,18,24
2023/9/3,0,3.5,55,28.8,72,4,24,0,1,9,7,24,6,20
2023/9/2,0.5,2.4,51,29.6,72,13,20,0,1,11,15,20,13,24
2023/8/30,0,2.3,83,31.6,64,14,27,5,2,15,27,21,25,37
2023/8/29,0,1.3,197,29.6,77,10,37,2,2,19,20,35,37,38
2023/8/28,0,1,283,29.4,73,13,38,5,2,15,22,38,31,50
2023/8/27,0,1.3,298,29.1,72,13,50,2,2,15,27,50,32,45
2023/8/26,0,1.5,9,29.5,72,11,45,2,2,17,18,45,37,41
2023/8/25,0,1.3,18,29.5,75,12,41,5,2,18,25,41,36,31
2023/8/24,0,1.3,86,29.3,72,11,31,5,2,15,27,31,20,30
2023/8/23,0,1.5,76,29.3,71,13,30,5,2,12,30,28,20,23
